Car_id,Date,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Body Style,Dealer_Region
C_CND_000032,01/02/2022,Male,750000,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,Hatchback,Middletown
C_CND_000033,01/02/2022,Male,635000,Star Enterprises Inc,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Sedan,Aurora
C_CND_000034,01/02/2022,Male,675000,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,43000,Hatchback,Greenville
C_CND_000035,01/02/2022,Male,880000,U-Haul CO,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000,Passenger,Pasco
C_CND_000036,01/03/2022,Male,13500,Diehl Motor CO Inc,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Sedan,Middletown
C_CND_000037,01/03/2022,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,SUV,Aurora
C_CND_000038,01/03/2022,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,Hatchback,Greenville
C_CND_000039,01/03/2022,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,SUV,Pasco
C_CND_000040,01/03/2022,Female,13500,Star Enterprises Inc,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,Passenger,Pasco
C_CND_000041,01/03/2022,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,Sedan,Janesville
C_CND_000042,01/03/2022,Female,13500,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,Sedan,Scottsdale
C_CND_000043,01/03/2022,Male,967500,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,Passenger,Austin
C_CND_000044,01/03/2022,Male,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001,Hatchback,Middletown
C_CND_000045,01/03/2022,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,Hatchback,Aurora
C_CND_000046,01/03/2022,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,Hatchback,Greenville
C_CND_000047,01/03/2022,Male,1250000,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,21001,Hatchback,Pasco
C_CND_000048,01/03/2022,Male,730000,Rabun Used Car Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,Hatchback,Scottsdale
C_CND_000049,01/03/2022,Male,4060000,Race Car Help,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,Hatchback,Austin
C_CND_000050,01/03/2022,Male,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Middletown
C_CND_000051,01/03/2022,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Aurora
C_CND_000052,01/03/2022,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,Hardtop,Austin
C_CND_000053,01/03/2022,Female,640000,C & M Motors Inc,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,Hatchback,Scottsdale
C_CND_000054,01/03/2022,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,Hardtop,Middletown
C_CND_000055,01/03/2022,Male,520000,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,SUV,Middletown
C_CND_000056,01/04/2022,Male,1876000,Iceberg Rentals,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25600,Passenger,Janesville
C_CND_000057,01/04/2022,Male,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,17000,Hatchback,Scottsdale
C_CND_000058,01/04/2022,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,SUV,Austin
C_CND_000059,01/04/2022,Male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,Hatchback,Middletown
C_CND_000060,01/04/2022,Male,1800000,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,Passenger,Aurora
C_CND_000061,01/04/2022,Male,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,Hardtop,Janesville
C_CND_000062,01/04/2022,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,Hatchback,Janesville
C_CND_000063,01/04/2022,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,Hatchback,Austin
C_CND_000064,01/04/2022,Female,280000,Nebo Chevrolet,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,14000,SUV,Middletown
C_CND_000065,01/04/2022,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,31100,Sedan,Greenville
C_CND_000066,01/04/2022,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,Hatchback,Pasco
C_CND_000067,01/04/2022,Male,13500,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,SUV,Janesville
C_CND_000068,01/04/2022,Male,895000,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,Passenger,Aurora
C_CND_000069,01/04/2022,Female,660000,Classic Chevy,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Sedan,Greenville
C_CND_000070,01/04/2022,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Pasco
C_CND_000071,01/05/2022,Male,1636000,Nebo Chevrolet,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22600,SUV,Middletown
C_CND_000072,01/05/2022,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,Passenger,Aurora
C_CND_000073,01/05/2022,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,SUV,Greenville
C_CND_000074,01/05/2022,Male,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Sedan,Pasco
C_CND_000075,01/05/2022,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22700,Passenger,Janesville
C_CND_000076,01/05/2022,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45000,SUV,Scottsdale
C_CND_000077,01/05/2022,Male,1200000,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000,Hatchback,Pasco
C_CND_000078,01/05/2022,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,49000,Hardtop,Austin
C_CND_000079,01/05/2022,Male,410000,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,15000,SUV,Scottsdale
C_CND_000080,01/05/2022,Male,930000,Clay Johnson Auto Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,Hatchback,Austin
C_CND_000081,01/05/2022,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Hardtop,Greenville
C_CND_000082,01/05/2022,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,Hatchback,Aurora
C_CND_000083,01/05/2022,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,Sedan,Aurora
C_CND_000084,01/05/2022,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,SUV,Greenville
C_CND_000085,01/05/2022,Male,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,Hatchback,Pasco
C_CND_000086,01/05/2022,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,Sedan,Janesville
C_CND_000087,01/05/2022,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,Sedan,Scottsdale
C_CND_000088,01/05/2022,Male,13500,Race Car Help,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,SUV,Austin
C_CND_000089,01/05/2022,Male,13500,Tri-State Mack Inc,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000,Sedan,Scottsdale
C_CND_000090,01/05/2022,Male,2550000,U-Haul CO,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Hatchback,Austin
C_CND_000091,01/05/2022,Male,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,Sedan,Middletown
C_CND_000092,01/05/2022,Male,13500,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,Hardtop,Austin
C_CND_000093,01/05/2022,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,Hardtop,Aurora
C_CND_000094,01/05/2022,Male,13500,Chrysler of Tri-Cities,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,SUV,Pasco
C_CND_000095,01/05/2022,Male,2110000,Diehl Motor CO Inc,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,Passenger,Janesville
C_CND_000096,01/05/2022,Female,13500,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,SUV,Scottsdale
C_CND_000097,01/05/2022,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,Hatchback,Austin
C_CND_000098,01/05/2022,Male,13500,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,43000,Sedan,Janesville
C_CND_000099,01/05/2022,Female,13500,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,Sedan,Scottsdale
C_CND_000100,01/05/2022,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Austin
C_CND_000101,01/06/2022,Male,13500,Race Car Help,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16001,SUV,Austin
C_CND_000102,01/06/2022,Female,760000,Ryder Truck Rental and Leasing,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,16001,Sedan,Middletown
C_CND_000103,01/06/2022,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,SUV,Greenville
C_CND_000104,01/06/2022,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000,Hardtop,Janesville
C_CND_000105,01/06/2022,Male,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hatchback,Middletown
C_CND_000106,01/06/2022,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Aurora
C_CND_000107,01/06/2022,Female,13500,Chrysler Plymouth,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,49000,Hatchback,Janesville
C_CND_000108,01/06/2022,Male,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,Hardtop,Pasco
C_CND_000109,01/06/2022,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,SUV,Middletown
C_CND_000110,01/06/2022,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,Sedan,Aurora
C_CND_000111,01/09/2022,Female,481000,Saab-Belle Dodge,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57001,SUV,Aurora
C_CND_000112,01/09/2022,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62001,Hatchback,Greenville
C_CND_000113,01/09/2022,Male,1350000,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,SUV,Pasco
C_CND_000114,01/09/2022,Male,750000,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,SUV,Janesville
C_CND_000115,01/09/2022,Male,451000,McKinney Dodge Chrysler Jeep,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,Hardtop,Austin
C_CND_000116,01/09/2022,Female,650000,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,49000,Hardtop,Janesville
C_CND_000117,01/09/2022,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,Hatchback,Austin
C_CND_000118,01/09/2022,Female,13500,Nebo Chevrolet,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12000,Hatchback,Middletown
C_CND_000119,01/09/2022,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,Hatchback,Greenville
C_CND_000120,01/09/2022,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hatchback,Pasco
C_CND_000121,01/09/2022,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Sedan,Janesville
C_CND_000122,01/09/2022,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,Hatchback,Scottsdale
C_CND_000123,01/09/2022,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Passenger,Austin
C_CND_000124,01/09/2022,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,Hatchback,Middletown
C_CND_000125,01/09/2022,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,SUV,Aurora
C_CND_000126,01/09/2022,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,26000,Sedan,Greenville
C_CND_000127,01/09/2022,Male,642000,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000,Hardtop,Greenville
C_CND_000128,01/09/2022,Female,705000,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,Hatchback,Pasco
C_CND_000129,01/09/2022,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Passenger,Janesville
C_CND_000130,01/09/2022,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,Passenger,Scottsdale
C_CND_000131,01/10/2022,Female,1985000,Tri-State Mack Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28501,Hatchback,Scottsdale
C_CND_000132,01/10/2022,Male,1275000,New Castle Ford Lincoln Mercury,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15500,Hatchback,Aurora
C_CND_000133,01/10/2022,Male,13500,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,Passenger,Austin
C_CND_000134,01/10/2022,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,Sedan,Pasco
C_CND_000135,01/10/2022,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,Passenger,Austin
C_CND_000136,01/12/2022,Female,500000,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,SUV,Austin
C_CND_000137,01/12/2022,Male,1172500,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27250,SUV,Middletown
C_CND_000138,01/12/2022,Male,441000,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,Sedan,Aurora
C_CND_000139,01/12/2022,Male,1310000,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,Sedan,Greenville
C_CND_000140,01/12/2022,Male,13500,Chrysler of Tri-Cities,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Passenger,Pasco
C_CND_000141,01/12/2022,Male,1200000,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,SUV,Janesville
C_CND_000142,01/12/2022,Male,1680000,Pars Auto Sales,Acura,RL,Overhead Camshaft,Manual,Black,18000,SUV,Greenville
C_CND_000143,01/12/2022,Male,1340000,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,Passenger,Pasco
C_CND_000144,01/12/2022,Female,901000,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000,SUV,Janesville
C_CND_000145,01/12/2022,Female,849500,Rabun Used Car Sales,Acura,RL,Overhead Camshaft,Manual,Pale White,26500,SUV,Scottsdale
C_CND_000146,01/12/2022,Male,13500,Race Car Help,Ford,Taurus,Overhead Camshaft,Manual,Black,69000,SUV,Austin
C_CND_000147,01/12/2022,Female,1071500,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14150,Sedan,Middletown
C_CND_000148,01/12/2022,Male,1740000,Progressive Shippers Cooperative Association No,Saab,05-Sep,Overhead Camshaft,Manual,Pale White,28000,Hatchback,Janesville
C_CND_000149,01/12/2022,Male,13500,Rabun Used Car Sales,Honda,Civic,Overhead Camshaft,Manual,Black,43000,Hatchback,Scottsdale
C_CND_000150,01/12/2022,Male,1700000,Race Car Help,BMW,528i,Overhead Camshaft,Manual,Pale White,25000,SUV,Austin
C_CND_000151,01/12/2022,Male,1100000,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,Sedan,Middletown
C_CND_000152,01/12/2022,Male,13500,Saab-Belle Dodge,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000,Sedan,Aurora
C_CND_000153,01/12/2022,Male,2155000,Scrivener Performance Engineering,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Black,60500,Passenger,Greenville
C_CND_000154,01/12/2022,Male,13500,Iceberg Rentals,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,Passenger,Janesville
C_CND_000155,01/12/2022,Male,13500,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Hatchback,Scottsdale
C_CND_000156,01/12/2022,Male,661000,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,44000,Hatchback,Austin
C_CND_000157,01/12/2022,Female,13500,Nebo Chevrolet,Oldsmobile,Aurora,Overhead Camshaft,Manual,Pale White,71000,Passenger,Middletown
C_CND_000158,01/12/2022,Male,13500,New Castle Ford Lincoln Mercury,Ford,Mustang,Overhead Camshaft,Manual,Pale White,25000,Hatchback,Aurora
C_CND_000159,01/12/2022,Male,2750000,Pars Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18000,Hatchback,Greenville
C_CND_000160,01/12/2022,Male,13500,Race Car Help,Ford,Expedition,Overhead Camshaft,Manual,Pale White,22000,SUV,Middletown
C_CND_000161,01/12/2022,Male,13500,Diehl Motor CO Inc,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,Hardtop,Middletown
C_CND_000162,01/12/2022,Female,13500,Gartner Buick Hyundai Saab,Ford,Focus,Overhead Camshaft,Manual,Black,49000,Hardtop,Greenville
C_CND_000163,01/12/2022,Male,950000,Scrivener Performance Engineering,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Passenger,Pasco
C_CND_000164,01/12/2022,Female,715000,Star Enterprises Inc,BMW,528i,Overhead Camshaft,Manual,Black,21000,SUV,Janesville
C_CND_000165,01/12/2022,Female,13500,Rabun Used Car Sales,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000,Hardtop,Scottsdale
C_CND_000166,01/13/2022,Female,847000,Classic Chevy,Plymouth,Breeze,Overhead Camshaft,Manual,Pale White,16000,SUV,Scottsdale
C_CND_000167,01/13/2022,Female,13500,Clay Johnson Auto Sales,Volkswagen,Beetle,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,SUV,Austin
C_CND_000168,01/13/2022,Male,1176500,Diehl Motor CO Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11650,Sedan,Middletown
C_CND_000169,01/13/2022,Male,955000,Enterprise Rent A Car,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000,Sedan,Aurora
C_CND_000170,01/13/2022,Male,800000,Saab-Belle Dodge,Saturn,SW,Overhead Camshaft,Manual,Black,36000,Passenger,Aurora
C_CND_000171,01/13/2022,Male,13500,Scrivener Performance Engineering,Lincoln,Continental,Overhead Camshaft,Manual,Pale White,82000,Passenger,Greenville
C_CND_000172,01/13/2022,Female,13500,Star Enterprises Inc,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,24000,Sedan,Pasco
C_CND_000173,01/13/2022,Male,626800,Nebo Chevrolet,Nissan,Pathfinder,Overhead Camshaft,Manual,Pale White,11800,Hardtop,Austin
C_CND_000174,01/13/2022,Male,2115000,Star Enterprises Inc,Toyota,RAV4,DoubleÂ Overhead Camshaft,Auto,Pale White,27500,Hatchback,Pasco
